,bug,dark,dragon,electric,fairy,fighting,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water,Cluster
392,0.18556390545957452,0.18828087762838655,0.18828087762838655,0.7442195988950784,0.0,0.20170280240330513,0.21274425191269408,0.21417264025364502,0.2116095405767671,0.2116095405767671,0.20908195843726507,0.1880322010268011,0.200901024149667,0.0,0.0,0.0,0.0,10
393,0.13096861565030427,0.13288621963060654,0.13288621963060654,0.2626303061624962,0.0,0.2847184827040911,0.15015215427568757,0.15116029237863418,0.14935128962228955,0.14935128962228955,0.14756735468659632,0.3981321206595011,0.14179335658217376,0.22124582125448136,0.6147566380168491,0.0,0.28322714024676915,4
394,0.243863563933601,0.2474341425682442,0.2474341425682442,0.24450881663423277,0.0,0.2650729091287669,0.27958331308735945,0.2814604662473062,0.27809210309299287,0.27809210309299287,0.27477041622103726,0.2471073378365841,0.26401923168038377,0.41195972186645724,0.0,0.0,0.0,2
395,0.23919602692939257,0.2426982648589513,0.2426982648589513,0.23982892952405244,0.0,0.25999942626722483,0.2742321017848388,0.2760733263226688,0.2727694334787732,0.2727694334787732,0.26951132353541307,0.24237771515429712,0.5179318323100838,0.0,0.0,0.0,0.0,0
396,0.1749593708740253,0.1775210745639767,0.1775210745639767,0.1754223059871529,0.0,0.1901759683523047,0.2005864253585615,0.2019331847128531,0.1995165600689421,0.1995165600689421,0.19713342321986327,0.1772866092370225,0.1894200098134413,0.0,0.0,0.0,0.7567193411333722,1
397,0.446745295964471,0.22664320464754448,0.22664320464754448,0.22396368258385005,0.0,0.24279985359587714,0.2560910042017349,0.2578104274121646,0.25472509483927713,0.25472509483927713,0.2516825165205309,0.45268772011736563,0.24183471260487371,0.0,0.0,0.0,0.0,17
398,0.21318132333359904,0.21630266161850645,0.21630266161850645,0.6412361763606129,0.0,0.2317221672498131,0.2444069122281162,0.24604788715804157,0.2431033221598028,0.2431033221598028,0.24019956076289256,0.2160169745562688,0.23080106059004882,0.0,0.0,0.0,0.0,10
399,0.35383848466871354,0.1795096418862485,0.1795096418862485,0.17738736318467394,0.0,0.3846125882027558,0.20283336765394283,0.20419521322630454,0.20175151787651324,0.20175151787651324,0.19934168544735062,0.35854510022015346,0.1915418674161208,0.2988704039637945,0.4152226778832288,0.0,0.0,15
400,0.2066669347186709,0.20969289123997642,0.20969289123997642,0.20721376670786804,0.0,0.22464120807124352,0.4738766659703826,0.23852916305142163,0.2356745779838845,0.2356745779838845,0.2328595496424254,0.20941593419459287,0.2237482485617252,0.0,0.4850393712495601,0.0,0.0,7
401,0.2066669347186709,0.20969289123997642,0.20969289123997642,0.20721376670786804,0.0,0.22464120807124352,0.4738766659703826,0.23852916305142163,0.2356745779838845,0.2356745779838845,0.2328595496424254,0.20941593419459287,0.2237482485617252,0.0,0.4850393712495601,0.0,0.0,7
402,0.15341016904764093,0.3113127113149864,0.1556563556574932,0.15381608588197915,0.0,0.1667525855173112,0.17588081889637944,0.17706170208758118,0.6997709023546632,0.1749427255886658,0.1728531122969943,0.3109015373919874,0.16608973604168328,0.25915642973855685,0.0,0.0,0.0,13
403,0.24269622700106908,0.24624971383141195,0.24624971383141195,0.4866767819548635,0.0,0.2638040463612075,0.2782449912740385,0.2801131587939156,0.2767609194698653,0.2767609194698653,0.2734551329960725,0.24592447346314766,0.2627554127028053,0.0,0.0,0.0,0.0,10
404,0.26205957064444907,0.2658965698617721,0.2658965698617721,0.2627529692110786,0.7544726517986661,0.2848514621670729,0.0,0.0,0.0,0.0,0.0,0.26554538042501497,0.0,0.0,0.0,0.0,0.0,3
405,0.2305483991278404,0.2339240210325592,0.2339240210325592,0.23115842046421384,0.6637516104836961,0.2505996954446064,0.0,0.0,0.0,0.0,0.0,0.46723012025264,0.24960354971047788,0.0,0.0,0.0,0.0,11
406,0.17923537867150602,0.18185969041096256,0.18185969041096256,0.1797096279208446,0.0,0.19482386985941183,0.20548875848091572,0.20686843263977892,0.40878549135777853,0.20439274567888926,0.20195136495468546,0.3632389895007625,0.1940494356905173,0.0,0.4206585610554856,0.0,0.38760678258768383,7
407,0.21457742322685117,0.21771920279609913,0.21771920279609913,0.21514518603486715,0.0,0.23323968899094313,0.2460075049007576,0.2476592263861911,0.244695377771473,0.244695377771473,0.24177259997616135,0.4348632896044973,0.23231255010992582,0.0,0.0,0.0,0.4640359802254696,14
408,0.2513321945036744,0.25501212663218686,0.25501212663218686,0.2519972088856645,0.7235884070299341,0.27319110276328806,0.0,0.0,0.0,0.0,0.28318560829499134,0.2546753130916258,0.0,0.0,0.0,0.0,0.0,3
409,0.30315003915164584,0.15379433646643645,0.15379433646643645,0.3039521613641814,0.0,0.32951565819937684,0.1737768671576888,0.1749436241851684,0.1728499956708548,0.1728499956708548,0.17078537911018438,0.3071824176251932,0.16410290887589984,0.5121126083711357,0.3557407588798718,0.0,0.0,15
410,0.30315003915164584,0.15379433646643645,0.15379433646643645,0.3039521613641814,0.0,0.32951565819937684,0.1737768671576888,0.1749436241851684,0.1728499956708548,0.1728499956708548,0.17078537911018438,0.3071824176251932,0.16410290887589984,0.5121126083711357,0.3557407588798718,0.0,0.0,15
411,0.14433438925909406,0.14644769096854138,0.14644769096854138,0.14471629196305366,0.0,0.3137749307940819,0.16547567045516287,0.1665866923336115,0.4937792248697673,0.1645930749565891,0.16262708365292636,0.4387627997324986,0.3125276604882164,0.2438246776018211,0.338747277164679,0.0,0.0,15
412,0.3380545981186731,0.17150214709713954,0.17150214709713954,0.1694745381607393,0.0,0.36745594266830106,0.1937854573719114,0.19508655427801946,0.1927518663195527,0.1927518663195527,0.1904495307380044,0.3425512628334534,0.18299764389077555,0.5710770234398956,0.0,0.0,0.0,6
413,0.23134404230775765,0.23473131378608716,0.23473131378608716,0.23195616888241394,0.666042276756107,0.25146453744448205,0.0,0.0,0.0,0.0,0.26066419177104977,0.23442128662808112,0.0,0.3908104424755933,0.0,0.0,0.0,5
414,0.23134404230775765,0.23473131378608716,0.23473131378608716,0.23195616888241394,0.666042276756107,0.25146453744448205,0.0,0.0,0.0,0.0,0.26066419177104977,0.23442128662808112,0.0,0.3908104424755933,0.0,0.0,0.0,5
